channel,id,has_audio,dynamic,time,x,y,z
1,RoomCentricLeft,False,False,0.0,-1.0,1.0,0.0
2,RoomCentricRight,False,False,0.0,1.0,1.0,0.0
3,RoomCentricCenter,False,False,0.0,0.0,1.0,0.0
4,RoomCentricLFE,False,False,0.0,-1.0,1.0,-1.0
5,RoomCentricLeftSideSurround,False,False,0.0,-1.0,0.0,0.0
6,RoomCentricRightSideSurround,False,False,0.0,1.0,0.0,0.0
7,RoomCentricLeftRearSurround,False,False,0.0,-1.0,-1.0,0.0
8,RoomCentricRightRearSurround,False,False,0.0,1.0,-1.0,0.0
9,RoomCentricLeftTopSurround,False,False,0.0,-1.0,0.0,1.0
10,RoomCentricRightTopSurround,False,False,0.0,1.0,0.0,1.0
11,POE_BassStem L,True,False,0.0,0.061852,-0.476083,0.0
12,POE_BassStem R,True,False,0.0,-0.043962,-0.478067,0.0
13,POE_DrumStem_V3 L,True,False,0.0,0.67608,-0.514394,0.093
14,POE_DrumStem_V3 R,True,False,0.0,-0.67608,-0.514394,0.093
15,POE_AcGTStem L,True,False,0.0,-0.539887,0.111884,0.0
16,POE_AcGTStem R,True,False,0.0,-0.437465,0.383502,0.0
17,POE_ElecGTStem L,True,False,0.0,0.435094,0.382652,0.0
18,POE_ElecGTStem R,True,False,0.0,0.538189,0.112428,0.0
25,POE_KeysStem L,True,False,0.0,0.613219,-0.097513,0.16
26,POE_KeysStem R,True,False,0.0,-0.586781,-0.252809,0.16
27,POE_UkeStem_V3 L,True,False,0.0,-0.721317,0.298672,0.0
28,POE_UkeStem_V3 R,True,False,0.0,0.723653,0.279249,0.0
37,Front High L,True,False,0.0,-0.334623,0.730564,0.4
38,Front High R,True,False,0.0,0.334623,0.730564,0.4
39,Front Left L,True,False,0.0,-1.0,0.582817,0.0
40,Front Left R,True,False,0.0,-0.582818,1.0,0.0
41,Front Right L,True,False,0.0,0.582817,1.0,0.0
42,Front Right R,True,False,0.0,1.0,0.582817,0.0
43,Back Center L,True,False,0.0,0.471409,-1.0,0.213
44,Back Center R,True,False,0.0,-0.444793,-1.0,0.213
45,back-left L,True,False,0.0,-1.0,-0.715202,0.0
46,back-left R,True,False,0.0,-1.0,-0.105831,0.0
47,back-right L,True,False,0.0,1.0,-0.105831,0.0
48,back-right R,True,False,0.0,1.0,-0.715202,0.0
49,everywhere L,True,False,0.0,0.078218,-0.080162,0.281
50,everywhere R,True,False,0.0,-0.078218,-0.080162,0.281
51,doubling L,True,False,0.0,0.964108,-1.0,0.387
52,doubling R,True,False,0.0,-0.987534,-1.0,0.387
19,POE_LdGTStem L,True,True,0.0,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,189.59,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.57,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.58,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.59,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.61,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.62,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.63,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.64,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.65,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.66,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.67,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.68,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.69,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.7,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.71,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.72,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.73,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.74,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.75,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.77,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.78,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.79,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.8,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.81,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.82,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.83,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.84,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.85,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.86,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.87,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.88,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.89,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.9,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.91,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.93,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.94,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.95,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.96,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.97,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.98,-0.975753,1.0,0.175
19,POE_LdGTStem L,True,True,191.99,-0.975753,1.0,0.175
